timestamp,elapsed_s,phase,latitude_deg,longitude_deg,gnss_altitude_m,ground_speed_mps,gnss_has_fix,satellites,fix_quality,target_latitude_deg,target_longitude_deg,distance_to_target_m,target_heading_deg,temperature_c,pressure_hpa,humidity_percent,heading_deg,roll_deg,pitch_deg,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,calibration,heading_error_deg,control_mode,left_motor_command_percent,right_motor_command_percent,error
2026-08-04T18:15:50.835,11.589,waiting_for_release,,,,,False,0,0,35.9184062,139.9079523,,,29.73,1009.5485546875,44.1611328125,199.0625,-66.5,-100.6875,-8.96,3.77,-0.81,-5.375,8.0,13.5,2,,,,,
2026-08-04T18:15:51.948,12.702,waiting_for_release,,,,,False,0,0,35.9184062,139.9079523,,,29.72,1009.5405859375,44.2861328125,198.5625,-66.25,-100.75,-9.49,4.72,-1.24,-25.25,5.0625,6.5625,2,,,,,
2026-08-04T18:15:52.449,13.203,waiting_for_release,,,,,False,0,0,35.9184062,139.9079523,,,29.75,1009.2820703125,44.197265625,172.6875,-83.375,173.8125,-9.43,-0.9,-0.78,-12.9375,26.9375,4.9375,2,,,,,
2026-08-04T18:15:53.573,14.327,waiting_for_release,,,,,False,0,0,35.9184062,139.9079523,,,29.73,1009.250078125,44.40234375,172.3125,-83.25,173.875,-9.43,-0.92,-0.86,-8.25,22.5,2.5,2,,,,,
2026-08-04T18:15:54.073,14.827,waiting_for_release,,,,,False,0,0,35.9184062,139.9079523,,,29.74,1009.10328125,44.1044921875,143.5,-80.9375,22.125,-7.78,-1.02,-0.81,-66.625,22.0625,23.6875,2,,,,,
2026-08-04T18:15:54.573,15.328,waiting_for_release,,,,,False,0,0,35.9184062,139.9079523,,,29.74,1009.165546875,44.25390625,146.0,-82.8125,25.25,-12.21,-0.23,2.44,13.375,-3.3125,7.875,2,,,,,
2026-08-04T18:15:55.074,15.828,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.75,1009.092109375,44.265625,127.8125,-79.8125,-39.75,-9.14,1.12,1.01,-19.4375,11.8125,11.875,2,,,,,
2026-08-04T18:15:55.574,16.329,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.75,1009.1546875,44.3125,124.0,-81.75,-40.0,-8.95,0.84,0.7,-4.1875,4.875,-31.125,2,,,,,
2026-08-04T18:15:56.075,16.829,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.75,1009.07328125,44.30078125,121.375,-81.625,-17.875,-8.26,0.3,1.46,-10.75,-4.8125,-8.0625,2,,,,,
2026-08-04T18:15:56.575,17.329,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.75,1009.1004296875,44.3125,131.625,-78.1875,39.75,-9.73,-1.39,2.07,-21.6875,-4.625,4.6875,2,,,,,
2026-08-04T18:15:57.076,17.830,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.75,1009.1004296875,44.34765625,132.5625,-79.0,48.3125,-9.48,-0.05,1.58,4.0,-7.625,7.9375,2,,,,,
2026-08-04T18:15:57.576,18.330,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.76,1009.054140625,44.3359375,124.1875,-84.5625,1.1875,-9.59,0.19,1.03,18.875,0.9375,-18.5,2,,,,,
2026-08-04T18:15:58.077,18.831,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.76,1009.0621484375,44.3369140625,125.6875,-85.5,175.5,-10.64,-1.15,0.04,-12.75,26.0,11.8125,2,,,,,
2026-08-04T18:15:58.577,19.331,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.77,1009.1244140625,44.3369140625,115.5625,-86.3125,3.25,-9.5,-0.2,0.23,-12.0,-7.0625,7.1875,2,,,,,
2026-08-04T18:15:59.077,19.831,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.76,1009.0621484375,44.2451171875,108.625,-82.375,48.1875,-9.95,-1.36,1.45,-8.0625,2.875,1.375,2,,,,,
2026-08-04T18:15:59.578,20.332,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.76,1009.035,44.359375,106.3125,-84.6875,3.625,-9.62,-0.34,0.73,11.875,4.9375,4.4375,2,,,,,
2026-08-04T18:16:00.078,20.832,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.77,1008.9616015625,44.359375,104.6875,-86.0,2.4375,-9.63,-0.35,0.88,-8.0,-10.5625,-10.375,2,,,,,
2026-08-04T18:16:00.579,21.333,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.77,1009.051015625,44.3603515625,107.75,-83.625,6.3125,-10.07,-1.14,0.18,5.8125,-13.0,-5.4375,2,,,,,
2026-08-04T18:16:01.079,21.833,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.78,1009.058984375,44.3720703125,106.0625,-84.875,174.875,-9.68,-0.85,-0.05,8.5625,-9.125,-7.1875,2,,,,,
2026-08-04T18:16:01.579,22.334,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.78,1009.0318359375,44.3837890625,112.4375,-80.5625,113.0625,-10.18,-1.37,-0.69,-2.6875,-4.5,-3.1875,2,,,,,
2026-08-04T18:16:02.080,22.834,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.78,1009.0318359375,44.3720703125,115.4375,-81.4375,85.5625,-9.91,-1.65,0.17,23.875,-2.8125,2.9375,2,,,,,
2026-08-04T18:16:02.580,23.334,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.79,1009.021015625,44.3857421875,124.0,-83.75,173.9375,-9.93,-0.45,-0.02,25.1875,19.875,14.8125,2,,,,,
2026-08-04T18:16:03.081,23.835,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.78,1009.0669921875,44.3955078125,126.3125,-85.1875,175.25,-9.33,-1.28,0.27,-2.3125,-5.375,-3.25,2,,,,,
2026-08-04T18:16:03.581,24.335,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.77,1009.051015625,44.39453125,133.5,-84.1875,174.375,-9.92,-0.61,-0.29,11.125,-3.875,7.5,2,,,,,
2026-08-04T18:16:04.082,24.836,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.78,1009.0669921875,44.384765625,135.0,-82.375,114.125,-10.09,-0.99,-0.72,-26.6875,18.375,9.5625,2,,,,,
2026-08-04T18:16:04.582,25.336,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.78,1009.094140625,44.3955078125,120.125,-86.625,177.6875,-9.82,-0.45,-0.18,-19.25,4.1875,4.625,2,,,,,
2026-08-04T18:16:05.082,25.837,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.78,1009.0398828125,44.4189453125,129.5,-81.8125,76.0,-9.66,-1.14,0.94,13.0625,-12.5625,-36.25,2,,,,,
2026-08-04T18:16:05.583,26.337,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.79,1009.0481640625,44.4423828125,144.0625,-76.125,99.1875,-11.0,-2.83,-0.11,35.0625,-14.125,-6.5,2,,,,,
2026-08-04T18:16:06.083,26.837,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.8,1009.0290234375,44.419921875,140.4375,-79.3125,123.0,-9.68,-1.49,-0.4,-1.3125,12.875,10.875,2,,,,,
2026-08-04T18:16:06.584,27.338,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.79,1009.0481640625,44.419921875,151.1875,-77.3125,122.5625,-9.43,-1.65,-1.29,7.1875,-2.0,19.125,2,,,,,
2026-08-04T18:16:07.084,27.838,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.8,1009.001875,44.4423828125,157.5,-78.5,102.8125,-9.16,-1.71,-0.51,4.0,14.0,-5.25,2,,,,,
2026-08-04T18:16:07.585,28.339,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.8,1009.064140625,44.466796875,172.125,-67.625,87.25,-9.25,-3.77,0.53,5.3125,-2.4375,-14.9375,2,,,,,
2026-08-04T18:16:08.085,28.839,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.81,1009.08015625,44.478515625,154.1875,-78.5625,67.4375,-8.12,-1.66,0.91,-15.375,-2.5,43.6875,2,,,,,
2026-08-04T18:16:08.585,29.340,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.81,1009.072109375,44.478515625,142.375,-84.875,-1.5,-9.34,0.51,1.17,6.625,-1.625,7.875,2,,,,,
2026-08-04T18:16:09.086,29.840,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.81,1009.08015625,44.4677734375,151.1875,-84.9375,4.4375,-9.19,-0.71,0.52,2.9375,7.875,-32.75,2,,,,,
2026-08-04T18:16:09.586,30.340,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.81,1009.188671875,44.478515625,158.125,-76.9375,85.25,-8.77,-2.27,0.2,1.0,5.75,-40.8125,2,,,,,
2026-08-04T18:16:10.087,30.841,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.81,1009.1264453125,44.4892578125,164.6875,-75.3125,93.625,-9.14,-2.15,0.32,13.875,14.5625,1.6875,2,,,,,
2026-08-04T18:16:10.587,31.341,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.81,1009.324375,44.501953125,160.375,-78.3125,116.375,-9.74,-1.71,-1.01,20.125,8.3125,-40.0,2,,,,,
2026-08-04T18:16:11.088,31.842,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.82,1009.3675,44.4912109375,174.9375,-67.625,106.875,-8.84,-3.72,-1.25,14.375,7.9375,-16.0,2,,,,,
2026-08-04T18:16:11.588,32.342,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.82,1009.47609375,44.5029296875,177.375,-67.25,110.875,-8.96,-3.29,-1.03,22.0,10.8125,-21.3125,2,,,,,
2026-08-04T18:16:12.088,32.843,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.82,1009.5303515625,44.4228515625,173.625,-71.5625,111.875,-9.24,-2.72,-0.93,3.0,-7.5,15.75,2,,,,,
2026-08-04T18:16:12.589,33.343,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.82,1009.5303515625,44.4794921875,170.0625,-75.5625,113.4375,-9.36,-2.55,-0.49,8.625,-1.25,5.9375,2,,,,,
2026-08-04T18:16:13.089,33.843,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.82,1009.6660546875,44.4794921875,168.5,-77.4375,138.75,-9.71,-1.13,-0.5,2.5625,-4.0625,8.8125,2,,,,,
2026-08-04T18:16:13.590,34.344,waiting_for_release,,,,,False,,,35.9184062,139.9079523,,,29.82,1009.7937109375,44.478515625,172.0625,-76.5,127.6875,-9.93,-1.85,-1.45,5.8125,-4.125,-11.5,2,,,,,
